futu_code,industry
HK.00007,消费电子产品
HK.00008,电讯服务
HK.00013,药品
HK.00020,数码解决方案服务
HK.00031,电子零件
HK.00038,重型机械
HK.00040,消费电子产品
HK.00042,工业零件及器材
HK.00046,互联网服务及基础设施
HK.00048,汽车零件
HK.00057,工业零件及器材
HK.00068,应用软件
HK.00076,工业零件及器材
HK.00082,互动媒体及服务
HK.00085,半导体
HK.00090,非传统/可再生能源
HK.00092,数码解决方案服务
HK.00096,工业零件及器材
HK.00099,电子零件
HK.00100,数码解决方案服务
HK.00103,商业用车及货车
HK.00110,消费性电讯设备
HK.00117,工业零件及器材
HK.00118,工业零件及器材
HK.00147,电脑及周边器材
HK.00148,工业零件及器材
HK.00154,环保工程
HK.00167,消费电子产品
HK.00175,汽车
HK.00176,消费电子产品
HK.00179,汽车零件
HK.00182,非传统/可再生能源
HK.00187,工业零件及器材
HK.00189,特殊化工用品
HK.00213,工业零件及器材
HK.00215,电讯服务
HK.00229,家庭电器
HK.00232,航空航天与国防
HK.00239,药品
HK.00241,药品分销
HK.00243,半导体设备与材料
HK.00248,数码解决方案服务
HK.00255,工业零件及器材
HK.00257,非传统/可再生能源
HK.00259,电子零件
HK.00268,应用软件
HK.00285,消费性电讯设备
HK.00286,医疗及医学美容服务
HK.00295,非传统/可再生能源
HK.00300,家庭电器
HK.00301,特殊化工用品
HK.00302,游戏软件
HK.00303,消费性电讯设备
HK.00305,汽车零件
HK.00314,药品分销
HK.00315,电讯服务
HK.00317,商业用车及货车
HK.00318,数码解决方案服务
HK.00320,工业零件及器材
HK.00327,电脑及周边器材
HK.00328,电脑及周边器材
HK.00334,电脑及周边器材
HK.00338,特殊化工用品
HK.00348,中医药
HK.00354,数码解决方案服务
HK.00360,汽车零件
HK.00362,特殊化工用品
HK.00365,工业零件及器材
HK.00372,特殊化工用品
HK.00383,医疗及医学美容服务
HK.00387,工业零件及器材
HK.00400,半导体
HK.00401,医疗及医学美容服务
HK.00408,特殊化工用品
HK.00418,应用软件
HK.00419,数码解决方案服务
HK.00425,汽车零件
HK.00434,游戏软件
HK.00436,环保工程
HK.00438,新能源物料
HK.00439,数码解决方案服务
HK.00451,非传统/可再生能源
HK.00455,药品
HK.00460,药品
HK.00464,家庭电器
HK.00465,应用软件
HK.00470,工业零件及器材
HK.00471,卫星及无线通讯
HK.00474,重型机械
HK.00475,新能源物料
HK.00476,商业用车及货车
HK.00482,消费电子产品
HK.00484,电脑及周边器材
HK.00495,工业零件及器材
HK.00501,半导体
HK.00512,药品
HK.00515,工业零件及器材
HK.00517,商业用车及货车
HK.00522,半导体设备与材料
HK.00524,电讯服务
HK.00527,非传统/可再生能源
HK.00529,消费性电讯设备
HK.00532,工业零件及器材
HK.00536,数码解决方案服务
HK.00552,电讯网路基建设施
HK.00553,数码解决方案服务
HK.00556,环保工程
HK.00557,医疗及医学美容服务
HK.00558,工业零件及器材
HK.00564,汽车零件
HK.00570,中医药
HK.00574,药品分销
HK.00575,药品
HK.00579,非传统/可再生能源
HK.00580,工业零件及器材
HK.00586,环保工程
HK.00587,环保工程
HK.00591,工业零件及器材
HK.00595,半导体
HK.00596,应用软件
HK.00600,半导体
HK.00607,环保工程
HK.00609,特殊化工用品
HK.00611,非传统/可再生能源
HK.00630,医疗设备及用品
HK.00631,重型机械
HK.00638,电子零件
HK.00640,特殊化工用品
HK.00641,工业零件及器材
HK.00648,医疗设备及用品
HK.00650,半导体设备与材料
HK.00658,环保工程
HK.00660,特殊化工用品
HK.00666,能源储存装置
HK.00669,家庭电器
HK.00673,医疗设备及用品
HK.00675,工业零件及器材
HK.00679,电子零件
HK.00684,家庭电器
HK.00686,非传统/可再生能源
HK.00690,药品
HK.00696,数码解决方案服务
HK.00698,电子零件
HK.00699,汽车零件
HK.00700,数码解决方案服务
HK.00708,汽车
HK.00710,汽车零件
HK.00712,新能源物料
HK.00716,商业用车及货车
HK.00719,药品
HK.00722,医疗及医学美容服务
HK.00724,半导体
HK.00725,工业零件及器材
HK.00728,电讯服务
HK.00732,电子零件
HK.00746,特殊化工用品
HK.00750,环保工程
HK.00751,消费电子产品
HK.00757,新能源物料
HK.00762,电讯服务
HK.00763,电讯网路基建设施
HK.00767,生物技术
HK.00771,数码解决方案服务
HK.00776,游戏软件
HK.00777,游戏软件
HK.00788,卫星及无线通讯
HK.00797,游戏软件
HK.00799,游戏软件
HK.00800,数码解决方案服务
HK.00805,汽车
HK.00818,支付服务
HK.00819,能源储存装置
HK.00822,工业零件及器材
HK.00833,家庭电器
HK.00838,工业零件及器材
HK.00840,工业零件及器材
HK.00842,能源储存装置
HK.00853,医疗设备及用品
HK.00854,工业零件及器材
HK.00856,数码解决方案服务
HK.00858,药品
HK.00860,汽车
HK.00861,数码解决方案服务
HK.00867,药品
HK.00868,工业零件及器材
HK.00874,中医药
HK.00876,医疗设备及用品
HK.00889,工业零件及器材
HK.00894,工业零件及器材
HK.00895,环保工程
HK.00897,中医药
HK.00909,应用软件
HK.00911,电子零件
HK.00912,消费电子产品
HK.00916,非传统/可再生能源
HK.00918,航空航天与国防
HK.00919,医疗及医学美容服务
HK.00921,家庭电器
HK.00927,消费电子产品
HK.00929,汽车零件
HK.00931,非传统/可再生能源
HK.00936,重型机械
HK.00941,电讯服务
HK.00947,电讯网路基建设施
HK.00950,药品
HK.00951,能源储存装置
HK.00968,新能源物料
HK.00979,新能源物料
HK.00981,半导体
HK.00987,非传统/可再生能源
HK.00990,特殊化工用品
HK.00992,电脑及周边器材
HK.00994,非传统/可再生能源
HK.01002,工业零件及器材
HK.01004,非传统/可再生能源
HK.01010,商业用车及货车
HK.01011,药品
HK.01013,消费性电讯设备
HK.01020,数码解决方案服务
HK.01021,工业零件及器材
HK.01022,游戏软件
HK.01024,互动媒体及服务
HK.01037,数码解决方案服务
HK.01039,支付服务
HK.01045,卫星及无线通讯
HK.01047,特殊化工用品
HK.01050,电脑及周边器材
HK.01057,汽车零件
HK.01059,应用软件
HK.01061,药品
HK.01063,电脑及周边器材
HK.01066,医疗设备及用品
HK.01070,消费电子产品
HK.01072,环保工程
HK.01075,应用软件
HK.01079,电脑及周边器材
HK.01085,电讯网路基建设施
HK.01087,电讯网路基建设施
HK.01093,药品
HK.01094,互联网服务及基础设施
HK.01099,药品分销
HK.01108,新能源物料
HK.01110,药品分销
HK.01114,汽车
HK.01119,游戏软件
HK.01122,商业用车及货车
HK.01123,消费电子产品
HK.01130,汽车
HK.01133,环保工程
HK.01143,消费电子产品
HK.01147,互联网服务及基础设施
HK.01148,汽车零件
HK.01156,工业零件及器材
HK.01157,重型机械
HK.01161,医疗及医学美容服务
HK.01165,非传统/可再生能源
HK.01167,生物技术
HK.01177,药品
HK.01184,工业零件及器材
HK.01187,医疗设备及用品
HK.01188,汽车零件
HK.01196,环保工程
HK.01201,能源储存装置
HK.01202,电讯网路基建设施
HK.01204,数码解决方案服务
HK.01206,数码解决方案服务
HK.01211,汽车
HK.01213,电子零件
HK.01228,生物技术
HK.01236,数码解决方案服务
HK.01244,生物技术
HK.01250,非传统/可再生能源
HK.01257,非传统/可再生能源
HK.01269,汽车零件
HK.01272,环保工程
HK.01274,数码解决方案服务
HK.01276,药品
HK.01280,家庭电器
HK.01281,非传统/可再生能源
HK.01286,工业零件及器材
HK.01289,工业零件及器材
HK.01298,医疗设备及用品
HK.01300,电讯网路基建设施
HK.01301,重型机械
HK.01302,医疗设备及用品
HK.01304,半导体
HK.01305,工业零件及器材
HK.01310,电讯服务
HK.01312,药品
HK.01316,汽车零件
HK.01330,环保工程
HK.01333,重型机械
HK.01335,半导体
HK.01341,重型机械
HK.01345,药品分销
HK.01347,半导体
HK.01349,生物技术
HK.01357,互动媒体及服务
HK.01358,医疗设备及用品
HK.01362,消费性电讯设备
HK.01384,数码解决方案服务
HK.01385,半导体
HK.01395,非传统/可再生能源
HK.01399,能源储存装置
HK.01401,电子零件
HK.01402,互联网服务及基础设施
HK.01406,医疗及医学美容服务
HK.01410,数码解决方案服务
HK.01415,电子零件
HK.01419,医疗及医学美容服务
HK.01450,互动媒体及服务
HK.01452,环保工程
HK.01455,家庭电器
HK.01460,互联网服务及基础设施
HK.01473,电讯网路基建设施
HK.01477,生物技术
HK.01478,电子零件
HK.01480,电子零件
HK.01498,药品
HK.01501,医疗设备及用品
HK.01513,药品
HK.01515,医疗及医学美容服务
HK.01518,医疗及医学美容服务
HK.01521,生物技术
HK.01522,轨道与列车设备
HK.01523,电脑及周边器材
HK.01526,医疗及医学美容服务
HK.01527,环保工程
HK.01530,药品
HK.01536,工业零件及器材
HK.01539,环保工程
HK.01541,生物技术
HK.01548,生物技术
HK.01561,数码解决方案服务
HK.01571,汽车零件
HK.01588,应用软件
HK.01596,轨道与列车设备
HK.01597,环保工程
HK.01609,医疗设备及用品
HK.01612,医疗设备及用品
HK.01613,数码解决方案服务
HK.01617,电讯网路基建设施
HK.01632,应用软件
HK.01643,中医药
HK.01645,工业零件及器材
HK.01651,工业零件及器材
HK.01652,中医药
HK.01656,工业零件及器材
HK.01660,重型机械
HK.01666,中医药
HK.01672,生物技术
HK.01673,工业零件及器材
HK.01675,应用软件
HK.01679,应用软件
HK.01681,药品
HK.01685,环保工程
HK.01686,互联网服务及基础设施
HK.01691,家庭电器
HK.01692,家庭电器
HK.01696,医疗设备及用品
HK.01708,数码解决方案服务
HK.01710,工业零件及器材
HK.01720,电讯网路基建设施
HK.01725,电子零件
HK.01726,医疗设备及用品
HK.01729,电讯网路基建设施
HK.01735,新能源物料
HK.01739,互动媒体及服务
HK.01745,应用软件
HK.01747,消费电子产品
HK.01750,工业零件及器材
HK.01760,汽车零件
HK.01763,药品
HK.01766,轨道与列车设备
HK.01782,应用软件
HK.01786,轨道与列车设备
HK.01789,医疗设备及用品
HK.01797,互动媒体及服务
HK.01798,非传统/可再生能源
HK.01799,新能源物料
HK.01801,药品
HK.01808,应用软件
HK.01809,汽车零件
HK.01810,消费性电讯设备
HK.01811,非传统/可再生能源
HK.01816,核能
HK.01827,医疗及医学美容服务
HK.01830,医疗及医学美容服务
HK.01833,医疗及医学美容服务
HK.01845,环保工程
HK.01846,医疗及医学美容服务
HK.01853,非传统/可再生能源
HK.01858,医疗设备及用品
HK.01861,特殊化工用品
HK.01863,特殊化工用品
HK.01873,生物技术
HK.01875,生物技术
HK.01877,生物技术
HK.01879,半导体设备与材料
HK.01882,工业零件及器材
HK.01883,电讯服务
HK.01888,工业零件及器材
HK.01889,药品
HK.01899,商业用车及货车
HK.01900,卫星及无线通讯
HK.01907,特殊化工用品
HK.01909,游戏软件
HK.01912,半导体
HK.01930,工业零件及器材
HK.01931,医疗设备及用品
HK.01932,特殊化工用品
HK.01933,应用软件
HK.01942,支付服务
HK.01947,医疗及医学美容服务
HK.01949,数码解决方案服务
HK.01950,特殊化工用品
HK.01951,生物技术
HK.01952,生物技术
HK.01958,汽车
HK.01961,游戏软件
HK.01967,电子零件
HK.01979,电子零件
HK.01980,互动媒体及服务
HK.01985,数码解决方案服务
HK.01986,特殊化工用品
HK.01989,电子零件
HK.01991,互动媒体及服务
HK.02000,消费性电讯设备
HK.02005,药品
HK.02013,应用软件
HK.02015,汽车
HK.02018,电子零件
HK.02022,游戏软件
HK.02025,汽车零件
HK.02026,数码解决方案服务
HK.02028,电脑及周边器材
HK.02038,消费性电讯设备
HK.02039,商业用车及货车
HK.02050,工业零件及器材
HK.02086,电脑及周边器材
HK.02096,药品
HK.02100,游戏软件
HK.02101,互动媒体及服务
HK.02102,重型机械
HK.02105,生物技术
HK.02116,特殊化工用品
HK.02120,医疗及医学美容服务
HK.02121,数码解决方案服务
HK.02126,生物技术
HK.02135,医疗及医学美容服务
HK.02137,生物技术
HK.02138,医疗及医学美容服务
HK.02142,生物技术
HK.02149,半导体
HK.02153,重型机械
HK.02155,重型机械
HK.02157,生物技术
HK.02158,医疗及医学美容服务
HK.02159,医疗及医学美容服务
HK.02160,医疗设备及用品
HK.02161,中医药
HK.02162,生物技术
HK.02166,半导体
HK.02167,应用软件
HK.02170,生物技术
HK.02171,生物技术
HK.02172,医疗设备及用品
HK.02179,生物技术
HK.02181,生物技术
HK.02182,工业零件及器材
HK.02185,医疗设备及用品
HK.02186,药品
HK.02188,环保工程
HK.02190,医疗设备及用品
HK.02192,医疗及医学美容服务
HK.02196,药品
HK.02197,生物技术
HK.02198,特殊化工用品
HK.02203,半导体
HK.02208,环保工程
HK.02211,药品分销
HK.02216,医疗设备及用品
HK.02219,医疗及医学美容服务
HK.02225,医疗设备及用品
HK.02228,生物技术
HK.02235,医疗设备及用品
HK.02238,汽车
HK.02239,消费性电讯设备
HK.02251,医疗设备及用品
HK.02252,医疗设备及用品
HK.02256,生物技术
HK.02257,生物技术
HK.02260,工业零件及器材
HK.02265,环保工程
HK.02268,生物技术
HK.02269,生物技术
HK.02273,医疗及医学美容服务
HK.02276,医疗设备及用品
HK.02279,医疗及医学美容服务
HK.02280,数码解决方案服务
HK.02283,工业零件及器材
HK.02285,家庭电器
HK.02289,药品分销
HK.02291,医疗设备及用品
HK.02293,医疗及医学美容服务
HK.02297,医疗设备及用品
HK.02315,生物技术
HK.02322,特殊化工用品
HK.02323,电子零件
HK.02325,生物技术
HK.02333,汽车
HK.02338,商业用车及货车
HK.02339,汽车零件
HK.02342,电讯网路基建设施
HK.02348,药品
HK.02350,数码解决方案服务
HK.02357,航空航天与国防
HK.02358,消费电子产品
HK.02359,生物技术
HK.02361,数码解决方案服务
HK.02363,电脑及周边器材
HK.02369,消费性电讯设备
HK.02373,医疗及医学美容服务
HK.02377,环保工程
HK.02380,非传统/可再生能源
HK.02381,家庭电器
HK.02382,电子零件
HK.02389,医疗及医学美容服务
HK.02391,应用软件
HK.02392,应用软件
HK.02393,医疗设备及用品
HK.02396,生物技术
HK.02399,能源储存装置
HK.02400,游戏软件
HK.02402,新能源物料
HK.02407,医疗设备及用品
HK.02410,生物技术
HK.02415,医疗及医学美容服务
HK.02416,互联网服务及基础设施
HK.02427,医疗设备及用品
HK.02431,数码解决方案服务
HK.02432,数码解决方案服务
HK.02436,电脑及周边器材
HK.02438,数码解决方案服务
HK.02440,互联网服务及基础设施
HK.02453,医疗及医学美容服务
HK.02457,汽车零件
HK.02458,游戏软件
HK.02459,工业零件及器材
HK.02465,能源储存装置
HK.02473,汽车
HK.02476,电子零件
HK.02477,卫星及无线通讯
HK.02479,数码解决方案服务
HK.02480,生物技术
HK.02481,非传统/可再生能源
HK.02487,生物技术
HK.02488,汽车零件
HK.02493,生物技术
HK.02495,数码解决方案服务
HK.02496,生物技术
HK.02498,数码解决方案服务
HK.02499,工业零件及器材
HK.02500,医疗设备及用品
HK.02501,数码解决方案服务
HK.02502,特殊化工用品
HK.02506,医疗及医学美容服务
HK.02507,航空航天与国防
HK.02509,生物技术
HK.02511,药品
HK.02512,互联网服务及基础设施
HK.02513,数码解决方案服务
HK.02522,医疗及医学美容服务
HK.02525,数码解决方案服务
HK.02526,医疗设备及用品
HK.02531,数码解决方案服务
HK.02533,数码解决方案服务
HK.02545,卫星及无线通讯
HK.02550,互动媒体及服务
HK.02551,电子零件
HK.02552,生物技术
HK.02556,应用软件
HK.02560,特殊化工用品
HK.02561,生物技术
HK.02563,生物技术
HK.02565,生物技术
HK.02566,药品
HK.02567,互联网服务及基础设施
HK.02570,新能源物料
HK.02571,应用软件
HK.02575,生物技术
HK.02576,数码解决方案服务
HK.02577,半导体
HK.02579,特殊化工用品
HK.02580,家庭电器
HK.02581,医疗及医学美容服务
HK.02582,工业零件及器材
HK.02586,数码解决方案服务
HK.02587,医疗及医学美容服务
HK.02590,数码解决方案服务
HK.02591,生物技术
HK.02592,生物技术
HK.02595,药品
HK.02597,卫星及无线通讯
HK.02598,支付服务
HK.02607,药品分销
HK.02609,医疗及医学美容服务
HK.02613,商业用车及货车
HK.02616,生物技术
HK.02617,生物技术
HK.02619,家庭电器
HK.02627,生物技术
HK.02629,生物技术
HK.02630,生物技术
HK.02631,半导体设备与材料
HK.02632,汽车零件
HK.02633,药品
HK.02635,数码解决方案服务
HK.02637,药品
HK.02650,工业零件及器材
HK.02651,医疗及医学美容服务
HK.02652,药品
HK.02655,能源储存装置
HK.02656,药品分销
HK.02658,半导体设备与材料
HK.02659,药品
HK.02660,游戏软件
HK.02665,数码解决方案服务
HK.02666,医疗及医学美容服务
HK.02670,数码解决方案服务
HK.02675,医疗设备及用品
HK.02676,半导体
HK.02677,医疗及医学美容服务
HK.02687,数码解决方案服务
HK.02692,工业零件及器材
HK.02696,生物技术
HK.02700,医疗及医学美容服务
HK.02701,半导体
HK.02706,数码解决方案服务
HK.02715,重型机械
HK.02718,数码解决方案服务
HK.02722,工业零件及器材
HK.02726,半导体设备与材料
HK.02727,环保工程
HK.02729,数码解决方案服务
HK.02768,特殊化工用品
HK.02865,新能源物料
HK.02877,中医药
HK.02878,半导体
HK.02881,特殊化工用品
HK.02885,工业零件及器材
HK.02889,汽车零件
HK.02898,生物技术
HK.03200,工业零件及器材
HK.03268,消费性电讯设备
HK.03277,电子零件
HK.03296,消费性电讯设备
HK.03300,工业零件及器材
HK.03302,工业零件及器材
HK.03309,医疗及医学美容服务
HK.03315,应用软件
HK.03317,数码解决方案服务
HK.03320,药品
HK.03336,电脑及周边器材
HK.03339,重型机械
HK.03347,生物技术
HK.03348,重型机械
HK.03355,互联网服务及基础设施
HK.03378,生物技术
HK.03390,药品分销
HK.03393,工业零件及器材
HK.03396,电脑及周边器材
HK.03600,医疗设备及用品
HK.03601,游戏软件
HK.03606,汽车零件
HK.03613,中医药
HK.03625,半导体
HK.03628,工业零件及器材
HK.03638,电脑及周边器材
HK.03677,能源储存装置
HK.03680,数码解决方案服务
HK.03681,生物技术
HK.03689,医疗及医学美容服务
HK.03692,药品
HK.03696,药品
HK.03718,环保工程
HK.03737,药品
HK.03738,应用软件
HK.03750,能源储存装置
HK.03759,药品
HK.03773,互动媒体及服务
HK.03798,游戏软件
HK.03800,新能源物料
HK.03808,商业用车及货车
HK.03816,工业零件及器材
HK.03839,生物技术
HK.03868,非传统/可再生能源
HK.03869,医疗及医学美容服务
HK.03880,药品
HK.03881,商业用车及货车
HK.03882,消费电子产品
HK.03886,医疗及医学美容服务
HK.03888,应用软件
HK.03896,互联网服务及基础设施
HK.03898,轨道与列车设备
HK.03919,能源储存装置
HK.03931,能源储存装置
HK.03933,药品
HK.03969,轨道与列车设备
HK.03986,半导体
HK.03989,非传统/可再生能源
HK.03991,电脑及周边器材
HK.03996,环保工程
HK.03997,消费性电讯设备
HK.06031,重型机械
HK.06033,消费性电讯设备
HK.06036,工业零件及器材
HK.06051,应用软件
HK.06078,医疗及医学美容服务
HK.06082,数码解决方案服务
HK.06086,药品分销
HK.06088,电子零件
HK.06108,药品分销
HK.06118,生物技术
HK.06127,生物技术
HK.06133,消费性电讯设备
HK.06160,生物技术
HK.06162,汽车零件
HK.06163,商业用车及货车
HK.06166,电讯网路基建设施
HK.06185,生物技术
HK.06188,消费性电讯设备
HK.06600,数码解决方案服务
HK.06608,应用软件
HK.06609,医疗设备及用品
HK.06610,应用软件
HK.06613,电子零件
HK.06616,特殊化工用品
HK.06618,药品分销
HK.06622,药品
HK.06628,生物技术
HK.06633,游戏软件
HK.06636,数码解决方案服务
HK.06639,医疗及医学美容服务
HK.06651,数码解决方案服务
HK.06656,能源储存装置
HK.06657,应用软件
HK.06660,药品
HK.06667,生物技术
HK.06669,医疗设备及用品
HK.06681,医疗及医学美容服务
HK.06682,数码解决方案服务
HK.06687,应用软件
HK.06690,家庭电器
HK.06699,医疗及医学美容服务
HK.06805,环保工程
HK.06809,半导体
HK.06810,电脑及周边器材
HK.06820,游戏软件
HK.06821,药品
HK.06823,电讯服务
HK.06826,医疗设备及用品
HK.06830,汽车零件
HK.06833,药品
HK.06855,生物技术
HK.06860,游戏软件
HK.06865,新能源物料
HK.06869,电讯网路基建设施
HK.06877,药品分销
HK.06887,药品
HK.06896,药品
HK.06899,游戏软件
HK.06908,半导体
HK.06922,医疗设备及用品
HK.06928,汽车零件
HK.06929,医疗设备及用品
HK.06933,游戏软件
HK.06938,生物技术
HK.06939,半导体
HK.06955,生物技术
HK.06960,能源储存装置
HK.06969,消费电子产品
HK.06978,生物技术
HK.06988,互动媒体及服务
HK.06990,生物技术
HK.06996,药品
HK.06998,生物技术
HK.07489,汽车
HK.07630,生物技术
HK.07666,生物技术
HK.08005,消费电子产品
HK.08017,应用软件
HK.08018,应用软件
HK.08033,互联网服务及基础设施
HK.08036,数码解决方案服务
HK.08037,医疗及医学美容服务
HK.08043,消费性电讯设备
HK.08049,中医药
HK.08050,电讯服务
HK.08051,电脑及周边器材
HK.08060,轨道与列车设备
HK.08062,数码解决方案服务
HK.08065,工业零件及器材
HK.08066,电脑及周边器材
HK.08070,工业零件及器材
HK.08071,数码解决方案服务
HK.08073,工业零件及器材
HK.08076,数码解决方案服务
HK.08080,工业零件及器材
HK.08087,支付服务
HK.08092,数码解决方案服务
HK.08093,互动媒体及服务
HK.08100,应用软件
HK.08106,应用软件
HK.08111,环保工程
HK.08113,工业零件及器材
HK.08115,工业零件及器材
HK.08128,环保工程
HK.08131,应用软件
HK.08133,工业零件及器材
HK.08137,能源储存装置
HK.08139,特殊化工用品
HK.08143,医疗及医学美容服务
HK.08147,消费电子产品
HK.08148,应用软件
HK.08152,重型机械
HK.08158,医疗及医学美容服务
HK.08159,电脑及周边器材
HK.08161,医疗及医学美容服务
HK.08169,环保工程
HK.08176,电子零件
HK.08178,互联网服务及基础设施
HK.08198,互联网服务及基础设施
HK.08205,应用软件
HK.08218,工业零件及器材
HK.08223,医疗设备及用品
HK.08225,药品
HK.08227,消费性电讯设备
HK.08229,互联网服务及基础设施
HK.08245,消费性电讯设备
HK.08246,新能源物料
HK.08247,生物技术
HK.08249,电子零件
HK.08267,游戏软件
HK.08279,支付服务
HK.08282,游戏软件
HK.08286,电讯网路基建设施
HK.08290,应用软件
HK.08307,医疗及医学美容服务
HK.08311,消费性电讯设备
HK.08319,互联网服务及基础设施
HK.08326,新能源物料
HK.08328,新能源物料
HK.08329,药品
HK.08337,电讯服务
HK.08357,医疗及医学美容服务
HK.08372,医疗设备及用品
HK.08375,工业零件及器材
HK.08379,电脑及周边器材
HK.08391,环保工程
HK.08419,消费电子产品
HK.08420,互联网服务及基础设施
HK.08425,重型机械
HK.08437,医疗及医学美容服务
HK.08490,工业零件及器材
HK.08511,工业零件及器材
HK.08513,医疗设备及用品
HK.08529,半导体设备与材料
HK.08603,医疗及医学美容服务
HK.08606,互联网服务及基础设施
HK.08611,应用软件
HK.08612,重型机械
HK.08613,支付服务
HK.08622,生物技术
HK.08623,工业零件及器材
HK.08635,应用软件
HK.08637,半导体设备与材料
HK.08645,互联网服务及基础设施
HK.08646,工业零件及器材
HK.09600,应用软件
HK.09606,生物技术
HK.09609,工业零件及器材
HK.09611,消费性电讯设备
HK.09626,互动媒体及服务
HK.09636,应用软件
HK.09638,商业用车及货车
HK.09660,数码解决方案服务
HK.09663,新能源物料
HK.09669,应用软件
HK.09678,数码解决方案服务
HK.09686,医疗及医学美容服务
HK.09688,生物技术
HK.09698,互联网服务及基础设施
HK.09860,医疗及医学美容服务
HK.09863,汽车
HK.09866,汽车
HK.09868,汽车
HK.09877,医疗设备及用品
HK.09880,数码解决方案服务
HK.09881,电脑及周边器材
HK.09882,工业零件及器材
HK.09885,药品分销
HK.09886,药品分销
HK.09887,生物技术
HK.09888,互动媒体及服务
HK.09890,游戏软件
HK.09898,互动媒体及服务
HK.09903,半导体
HK.09906,医疗及医学美容服务
HK.09911,互动媒体及服务
HK.09918,消费电子产品
HK.09923,支付服务
HK.09926,生物技术
HK.09927,汽车
HK.09930,重型机械
HK.09933,特殊化工用品
HK.09936,特殊化工用品
HK.09939,药品
HK.09955,医疗设备及用品
HK.09959,应用软件
HK.09960,医疗及医学美容服务
HK.09963,电讯网路基建设施
HK.09966,生物技术
HK.09969,生物技术
HK.09973,汽车
HK.09981,工业零件及器材
HK.09989,药品
HK.09990,游戏软件
HK.09995,生物技术
HK.09996,医疗设备及用品
HK.09999,游戏软件
