股票,公司名,sub_label,年度涨跌幅,是否符合,核心业务引擎,AI影响分析,财务韧性,结论
SNOW,Snowflake Inc.,Developer Tools & Data Platforms,-29.65%,1,核心业务为云原生数据仓库与数据云平台。其收入模型是典型的纯消耗计费模式（Consumption-based），客户根据计算和存储的实际使用量（Credits）付费。核心业务指标为：产品收入（Product Revenue）和净收入留存率（NRR）。,AI 大模型时代的本质是“算力+数据”。企业无论是在进行 RAG（检索增强生成）、模型微调，还是执行数据清洗以喂给大模型，都会产生海量的数据扫描和查询需求。通过其 Cortex AI 等功能，大模型的每一次底层数据调用，都会直接、线性地消耗 Snowflake 的计算额度（Credits），从而转化为产品收入。,具备较强的财务韧性。Non-GAAP 毛利率维持在 75% 左右。通过软件层的查询引擎优化和规模效应，Snowflake 能够在底层公有云（AWS/GCP/Azure）基础设施成本上升的同时，维持甚至微幅提升其软件附加值的毛利空间。,符合
ESTC,Elastic N.V.,Developer Tools & Data Platforms,-27.99%,1,"核心业务：企业级搜索、可观测性及安全信息和事件管理（SIEM）。底层支撑为 Elasticsearch 引擎。
   收入模型：混合模式，核心增长驱动力为基于用量的云服务（Elastic Cloud），辅以自托管订阅。
   核心指标：云数据摄取量、数据存储规模、查询/计算的 API 调用量。","大语言模型的核心痛点是幻觉和缺乏私有数据，这直接催生了 RAG（检索增强生成）架构的爆发。Elasticsearch 具备原生的向量搜索（Vector Search）能力。
   随着 AI 应用与用户的交互增多（LLM 用量激增），系统需要高频地将 Prompt 转化为向量，并在 Elasticsearch 中检索非结构化数据。这种 API 级的数据读写与查询需求与大语言模型的消耗量呈现直接的线性增长关系。",公司长期维持 75% 左右的 Non-GAAP 毛利率。由于其云服务定价与计算/存储资源的消耗直接挂钩，即使高并发的向量检索推高了底层 IaaS 算力成本，其基于用量的收费模式也能将成本平滑转嫁给客户，毛利率可维持。,符合
MDB,"MongoDB, Inc.",Developer Tools & Data Platforms,-25.07%,1,"核心业务：面向现代分布式应用的 NoSQL 文档型数据库。
   收入模型：高度依赖基于实际使用量的 DBaaS 平台（MongoDB Atlas）。
   核心指标：Atlas 计算节点规模、数据读写操作次数（IOPS）、存储容量及网络吞吐量。","AI 应用（特别是基于 LLM 的 Agent 框架和记忆模块）主要产生和处理半结构化/非结构化数据（如 JSON 格式的对话历史、用户上下文记录），这与 MongoDB 文档数据库的底层架构完美契合。此外，Atlas Vector Search 提供了一体化的向量检索功能。
   只要终端用户在使用由 LLM 驱动的应用程序（如智能客服、AI 伴侣），其每一次对话都会触发数据库的读、写和向量查询操作。LLM 用量激增，直接等比例转化为对 MongoDB Atlas 计算资源的消耗，呈高度线性正相关。",Non-GAAP 毛利率常年稳定在 75% 左右。数据库层面的云端消耗具有极强的规模效应，且 Atlas 相比于底层裸金属 IaaS 存在显著的软件溢价，利润率可长期维持。,符合
GTLB,Gitlab Inc.,Developer Tools & Data Platforms,-28.19%,0,"核心业务：一体化 DevOps 平台（涵盖代码托管、CI/CD 流水线、安全测试）。
   收入模型：基于层级的 SaaS 订阅（Premium / Ultimate），严格按照开发人员坐席（Per Seat）计费。
   核心指标：ARR（年度经常性收入）、付费坐席数、大客户净留存率（NDR）。","GitLab 推出了基于大模型的 AI 编程助手（GitLab Duo）。大模型用量越大，代表现有开发者对 AI 助手的依赖度越高，但这属于对现有工作流的提效。
   与 Figma 逻辑一致，高频使用 AI 不会导致企业为更多员工购买 DevOps 坐席。代码产出量的增加可能会略微增加 CI/CD 分钟数的消耗，但在整体营收盘子中占比较小。其核心指标（坐席规模）面对 AI 效率工具甚至存在被压缩的通缩风险。",Non-GAAP 毛利率高达 90% 左右。调用第三方基础大模型的 API 成本通过每用户每月固定的增值订阅费（如 $19/月）进行覆盖，毛利可维持。,不符合
FIG,"Figma, Inc.",Developer Tools & Data Platforms,-45.07%,0,"核心业务：云端 UI/UX 协同设计与原型制作平台。
   收入模型：典型的 SaaS 订阅制，按坐席（Per Seat）计费为主。
   核心指标：付费企业客户数、活跃付费坐席数（Paid Seats）及企业级订阅的续费率。","Figma 引入了 Figma AI 等生成式功能，显著提升了单一设计师的出图效率、组件生成速度和工作流体验。
   然而，大语言模型/多模态模型使用量的激增，并不能转化为“坐席”的激增。相反，由于个体生产力大幅跃升，企业在中长期甚至可能缩减基础设计岗位的招聘 headcount。其增长逻辑属于“客单价（ARPU）提升”（通过收取 AI 增值服务费），而非核心指标（坐席）的线性增长。",作为纯 SaaS 软件，其毛利率极高（推测处于 85% 以上行业标杆水平）。AI 推理成本的增加可以通过提价覆盖，毛利率可维持。,不符合
TEAM,Atlassian Corp,Developer Tools & Data Platforms,-40.81%,0,Atlassian 的核心业务是为软件开发、IT 运营及业务团队提供项目管理与协作工具（核心产品包括 Jira、Confluence、Bitbucket 等）。其收入模型属于典型的 SaaS 订阅制，主要基于企业客户的订阅坐席数（Seats）以及功能层级（Tier）进行收费。核心指标是客户数量、单客户平均订阅坐席数以及增量模块的交叉销售转化率。,在 AI 大语言模型时代，开发者可以利用 AI 辅助编写代码或生成文档，这极大提升了单个开发者的生产力。然而，Atlassian 的核心计费单位是“人（坐席）”。大语言模型用量的增加并不会导致企业雇佣更多开发者，反而可能在中长期降低企业对基础开发人员的扩张需求。因此，LLM 使用量的激增与 Jira/Confluence 的坐席数增长之间不存在明显的线性促进关系，核心业务指标几乎保持不变甚至面临部分收缩风险。,Atlassian 具备典型的纯软件公司财务特征，Non-GAAP 毛利率常年维持在 80% 以上的高水平。如果仅是将内部 AI 功能（Atlassian Intelligence）作为高级订阅层的附加权益，由于云基础设施规模效应，其利润率可以维持。,不符合
ZETA,Zeta Global Holdings Corp.,Enterprise & Vertical SaaS,-13.91%,1,Zeta 是一家基于 AI 的营销云和全渠道数据平台。其核心业务是利用专有数据资产为企业提供受众识别与营销自动化执行。收入模型是典型的基于使用量计费（Usage-based），具体收费取决于处理的数据量级、营销活动的发送频次以及 AI 智能的执行规模。核心指标为超级规模客户数（Super-Scaled Customers）以及单客户平均数据与活动消耗量。,根据 2026 年 5 月最新的机构评估与第一季度财报（营收同比增长 50%），Zeta 业绩的大幅超越直接归因于其推出的“Athena”超智能代理（Superintelligent Agent）。在营销云领域，大语言模型的使用将原本固定的“工作流”转变为无限次并发的“AI 代理主动探测与内容生成”。因为 Zeta 按数据消耗和营销动作执行量收费，客户利用 Athena 生成成千上万个高度个性化的跨渠道营销活动，将直接导致底层查询量和执行代币的线性激增。用量即计费，AI 的深度使用直接反映在账单的增长上。,在业务量激增的同时，Zeta 2026 年第一季度的调整后 EBITDA 强劲增长 42%（达 6610 万美元），2026 全年 EBITDA 利润率指引进一步提升至 22% 以上。其规模效应和内部 AI 带来的运营杠杆，证明了在高消耗模型下，其非公认会计准则下的利润率不仅可维持，甚至具备扩张能力。,符合
XYZ,"Block, Inc.",FinTech Software,+14.89%,0,Block 的核心业务分为针对商户端的 Square（支付处理与SaaS）以及针对C端用户的 Cash App（电子钱包与金融服务）。其收入模型主要依赖交易抽成（Take Rate）、SaaS订阅费以及比特币交易价差。核心指标为：总支付交易量（GPV - Gross Payment Volume）、Cash App 月活跃交易用户数（Monthly Transacting Actives）以及单用户资金流入量。,AI 在该业务中的主要作用是降本增效（如提升风控与欺诈检测能力）和辅助商户（如生成式AI帮助商户撰写营销邮件）。然而，大语言模型使用量的激增，与线下咖啡店卖出多少杯咖啡（GPV）、或用户向朋友转账多少次（Cash App 活跃度）不存在直接的因果关系。宏观消费能力和零售交易频次才是决定其核心指标的当量。,Block 的 Non-GAAP 毛利表现出较强的韧性。如果在风控和客服端过度引入高成本的推理算力，短期内可能会略微推高运营支出，但作为成熟的金融科技公司，其核心支付毛利结构不会被AI用量直接拖垮。,不符合
CWAN,"Clearwater Analytics Holdings, Inc.",FinTech Software,+1.00%,0,核心业务是为保险公司、资产管理机构和大型企业提供基于云的投资会计、数据聚合、对账及报告平台。收入模型主要是基于资产规模（AUM）的阶梯式计费，通常以基点（bps）提取费用。核心指标为系统平台上处理的资产管理规模（AUM）。,大语言模型用量的增加对其核心业务指标几乎不变。CWAN 的核心计费逻辑死死锚定于客户金融资产的体量。生成式 AI 可以帮助资产管理人通过自然语言更快地查询投资组合敞口或自动生成研报，但这改变不了客户本身的 AUM 规模。AUM 受资本市场波动和机构募资能力影响，与大模型计算量完全脱钩。,Non-GAAP 毛利率极具韧性，维持在 75% 左右。引入基于大语言模型的交互查询功能带来的算力成本增加，在庞大 AUM 基数抽成的收入模型前微不足道，利润率可轻松维持。,不符合
ACIW,"ACI WORLDWIDE, INC.",FinTech Software,-0.35%,0,该公司的核心业务是为全球银行、商户和计费机构提供实时电子支付及支付网关软件。其收入模型主要由软件许可费、SaaS 订阅费以及基于交易处理量的交易费构成。核心指标为系统端点数量及处理的实际支付交易笔数（Transaction Volume）。,大语言模型用量的增加对其核心业务指标几乎不变。AI 技术在此类业务中主要用于提升反欺诈（Anti-Fraud）模型的精度或优化内部代码开发效率。然而，宏观上的电子支付笔数受全球消费需求、GDP 增速和商业活动频次驱动。用户不会因为大语言模型算力的增强或交互频次的增加，而产生更多真实的支付行为。,公司的 Non-GAAP 毛利率常年相对稳定（维持在 50% - 60% 区间）。由于其核心计费单元（支付笔数）不会因为 AI 用量而激增，其服务器和云资源的支出相对可控，毛利率能够维持，但缺乏 AI 驱动的爆发弹性。,不符合
SSNC,SS&C Technologies Holdings Inc,FinTech Software,-19.56%,0,SS&C 的核心业务是为金融服务行业（资产管理、对冲基金、私募股权）和医疗保健行业提供核心软件和软件即服务（SaaS）。其收入模型主要为高续约率的长期订阅费、软件维护费以及基于AUM（资产管理规模）或账户数量的托管与专业服务费。核心指标为：资产管理规模（AUM）、软件授权坐席量（Seats）以及客户留存率。,金融机构在内部大量引入大语言模型（如用于投研分析、自动生成报告），不会带来 SS&C 核心指标的线性增长。SS&C 的收费锚定的是客户的资产规模或员工坐席数。即便某个对冲基金客户每天调用一万次大模型API进行数据清洗，只要其AUM或员工数量没有发生变化，SS&C 能够收取的软件授权费几乎保持不变。,SS&C 拥有极高的 Non-GAAP 毛利率（通常维持在 50% 左右甚至更高）。在AI时代，其毛利率不仅能够维持，反而可能因为自身在数据外包处理（BPO）业务中采用AI替代大量人工核算而实现成本端优化，进一步提升利润率。,不符合
BILL,"BILL Holdings, Inc.",FinTech Software,-17.27%,0,核心业务为面向中小企业（SMB）的云端财务后台自动化软件，专注于应付账款（AP）和应收账款（AR）的流转。收入模型包括：基于坐席及功能层级的 SaaS 订阅费、基于支付笔数/金额的交易费（Transaction Fees），以及资金沉淀带来的浮存金利息收入（Float Revenue）。核心指标为总支付交易额（TPV）、交易笔数和订阅客户数。,大语言模型用量的增加对其核心业务指标几乎不变。BILL 大量利用 AI 和机器学习进行发票的 OCR 提取、分类和审批流自动化。AI 是实现“降本增效”的工具，但绝不会创造增量需求——一家中小企业的真实业务发票数量和待支付款项是固定的，不会因为 AI 识别速度变快而线性产生更多发票或支付更多金额。,BILL 具备极高的 Non-GAAP 毛利率（通常在 80% 以上）。调用 AI API 会增加一定比例的销货成本（COGS），但在高毛利护城河下完全可以维持。,不符合
QTWO,"Q2 Holdings, Inc.",FinTech Software,-27.80%,0,核心业务为区域性银行、信用合作社等中小型金融机构提供数字银行业务平台（网银和移动端 APP 底层框架）。收入模型主要为 SaaS 订阅以及基于使用量的费用。其核心收费基础指标为金融机构平台上注册的数字银行用户数（Registered Users）。,大语言模型用量的增加对其核心指标几乎不变。AI 可以被集成进数字银行 APP 的智能客服或财务健康助理中，但一家地方性信用合作社能获取多少开户人数（注册用户数），取决于其本地化营销能力、存款利率和网点覆盖，与软件系统内跑了多少大模型 Token 毫无关联。,Non-GAAP 毛利率大致在 50% - 60% 区间，属于中等偏上水平。若向 C 端大量开放缺乏调用频率限制的 AI 对话功能且无法向下游银行转嫁成本，可能会对毛利率造成轻微拖累，但总体仍可维持。,不符合
INTU,INTUIT INC.,FinTech Software,-36.92%,0,"核心业务为面向消费者与中小企业的财务及税务软件（TurboTax, QuickBooks, Mailchimp）。收入模型混合了 SaaS 订阅费（按坐席/功能分级）和按次收费（如 TurboTax 单次报税单提交费、工资单处理费）。核心指标为软件订阅用户数及报税/处理单据的绝对数量。",大语言模型用量的增加对其核心指标几乎不变。Intuit 投入重金研发了基于自有金融数据的 Intuit Assist（AI 助手）。AI 的主要作用是提升软件易用性，通过智能问答减少人工客服成本，或引导客户升级到更高价位的专家协助版本（Upsell）。但报税是一项合规刚需，美国公民每年仅需申报一次，中小企业的记账周期也是固定的，核心处理量已被法定周期锁死，不存在因大模型而激增的可能性。,极其强韧。Non-GAAP 毛利率常年超过 80%。Intuit 拥有强大的 C 端及 B 端定价权，AI 带来的推理成本上升完全可以通过订阅费用的提价来覆盖。,不符合
EA,ELECTRONIC ARTS INC.,Gaming & Interactive Entertainment,-1.94%,0,"EA 是全球领先的游戏开发与发行商。核心业务是通过自有IP（如 EA Sports FC, Apex Legends）提供互动娱乐内容。收入模型为游戏本体销售（全价游戏）与实时服务（Live Services，即游戏内微交易和通行证）。核心指标为：净预定量（Net Bookings）、日/月活跃用户（DAU/MAU）以及单用户平均收入（ARPU）。",游戏是典型的“占用用户时间”的内容消费。正如你在框架中所指出的，C端用户每天的闲暇时间是具有物理上限的（通常为数小时）。大语言模型能够极大程度加快EA生成游戏资产（3D建模、NPC对话）的速度，增加内容的供给，但无法突破人类每天只有24小时的铁律。模型用量的增加不会让玩家的游戏时长无限制翻倍，因此无法线性拉动 ARPU 和 DAU。,游戏行业的毛利率普遍较高。GenAI 更多是作用于研发（R&D）阶段的降本工具。在不显著增加实时推理成本（如不在游戏中采用大规模实时演算的AI大模型NPC）的前提下，其 Non-GAAP 毛利率具有高度韧性，甚至有望因开发周期缩短而扩大。,不符合
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Gaming & Interactive Entertainment,-12.38%,0,公司的核心业务是互动娱乐与电子游戏的开发及发行（如《GTA》、《NBA 2K》系列）。收入模型以买断制游戏销售、游戏内微交易（DLC、虚拟货币）以及经常性消费者支出（RCS）为主。核心指标是月活跃用户数（MAU）、单用户平均收入（ARPU）及游戏端销量，属于典型的 C 端时间消耗与内容消费驱动模型。,根据 Morningstar 于 2026 年 5 月 8 日的最新研报显示，该公司的估值与基本面预期完全绑定在《GTA VI》（预计2026年末发布）的市场表现上。在 AI 时代，大语言模型（如生成式智能 NPC 对话）确实能提升游戏的沉浸感，但玩家的游戏时长受限于个人的物理时间。用户支付的是固定的游戏本体费用或特定的虚拟道具费，而非按后端 API / LLM Token 的消耗量进行付费。因此，底层大模型使用量的激增，不会对公司的核心变现指标产生任何明显的线性拉动作用。,虽然游戏研发阶段可能因 AI 辅助生成美术和代码而降低固定成本，但在游戏运营阶段，如果面向过亿玩家大规模实时调用生成式 AI，高昂的云端算力（推理成本）将全部由公司承担。在缺乏“按 token 计费”机制的情况下，玩家用量激增将直接拖累 Non-GAAP 毛利率。,不符合
NTES,"NetEase, Inc.",Gaming & Interactive Entertainment,-20.83%,0,网易的核心业务同样是网络游戏（以MMORPG和派对游戏为主），并辅以有道（教育）和云音乐。核心收入模型为免费游玩+道具付费（F2P + In-App Purchases）。核心指标为：移动端/PC端游戏净收入、活跃用户数以及付费率（Paying Ratio）。,网易在《逆水寒》等游戏中已经深度落地了基于大语言模型的智能NPC。玩家与NPC对话次数的激增（AI用量激增），确实提高了用户的留存率和沉浸感。但是，网易的商业化设计仍然是卖数值或卖外观（时装、坐骑）。玩家每天调用一千次大模型对话，并不等于他会购买对应次数的道具。核心付费指标与底层算力消耗之间存在断层。,在此需要警惕。如果在游戏中无限制地开放基于大语言模型的实时交互，激增的云端推理算力成本将直接计入主营业务成本（COGS）。如果这部分算力消耗没有转化为额外的内购收入，将直接挤压游戏的毛利率。目前大厂通过小模型本地化或限制调用次数来控制成本，但用量如果无序激增，对利润率构成压力。,不符合
RBLX,Roblox Corp,Gaming & Interactive Entertainment,-48.23%,0,Roblox 是一个由用户生成内容（UGC）驱动的沉浸式3D平台。其业务为提供引擎和服务器，让创作者开发游戏并供玩家游玩。收入模型是虚拟货币（Robux）的充值与经济系统抽成。核心指标为：日活跃用户（DAU）、用户参与时长（Hours Engaged）以及单日活用户平均预定量（ABPDAU）。,Roblox 正在推出内部的 GenAI 工具（如通过自然语言生成代码和3D材质）。这大大降低了创作者的门槛，可能会带来平台游戏数量和多样性的爆发。然而，回到需求端，数千万 DAU 的可支配零花钱（主要为青少年群体）和屏幕时间是有限的。创作者调用 AI 接口的频次呈指数级上升，并不等同于玩家群体充值 Robux 的金额会呈指数级上升。,Roblox 本身的毛利结构中，基础设施/信任与安全（Trust & Safety）以及创作者分成占据了极大比重，导致其盈利能力一直承压。引入消耗算力极大的生成式AI工具，如果无法通过显著提高总体游戏预定量来覆盖，会进一步加剧基础设施折旧与服务器费用的负担，利润率维持难度高于前四家公司。,不符合
U,Unity Software Inc.,Gaming & Interactive Entertainment,-36.36%,0,公司的核心业务是提供 3D 实时互动内容创建与运营引擎。收入模型主要分为两部分：Create Solutions（基于开发者“坐席”数量的固定订阅费）和 Grow Solutions（广告网络，基于玩家应用安装量和广告展示次数结算）。核心业务指标是开发者订阅坐席数、应用运行时安装量（Runtime Fee）及广告转化率。,结合 2026 年 5 月 8 日 Barclays 将其目标价上调至 33 美元的研报，虽然机构认可其近期在 AI 工具（如 Unity Muse）上的势头，但 MarketWatch 等主流观点同样指出 AI 正在加速软件资产的商品化。Unity 的 AI 辅助工具本质上是作为固定价格的附加订阅包（Add-on）销售给开发者的。C 端玩家游玩基于 Unity 引擎开发的游戏时，其留存和看广告的时间同样受限。因此，AI 调用的频次增加，并不会转化为开发者坐席采购量或玩家广告曝光量的线性增长。,Unity 长期面临 GAAP 盈利压力（2026 年 Q1 仍在亏损调整中）。由于核心收入是被“坐席”锁死的固定订阅费，当开发者高频调用底层大模型进行资产生成时，计算资源耗费呈指数上升而收入并未同步，这将对其毛利率施加巨大的下行压力。,不符合
FSLY,"Fastly, Inc.",Other Software,+101.28%,1,"业务： 边缘计算平台（Edge Computing）与内容分发网络（CDN）。
   模型： 基于流量的使用量计费（Usage-based）。
   指标： 数据传输量（GB）与请求数。","判定：明显增加。
   
   LLM的广泛应用带来了海量的实时推理请求。为了降低延迟，推理正从中心云向边缘侧迁移。AI应用生成的动态内容越多、交互越频繁，FSLY边缘侧处理的请求和清洗的安全流量就越大，这与DDOG的逻辑高度相似：AI流量即收入。",可维持。 边缘侧的网络带宽成本具有规模效应，随着流量激增，单位成本反而在下降，其Non-GAAP毛利率在规模效应下具备扩张潜力。,符合
KC,Kingsoft Cloud Holdings Ltd,Other Software,+45.29%,1,"业务： 云基础架构服务（IaaS/PaaS）。
   模型： 资源租赁/按量付费。
   指标： 计算资源（GPU/CPU）使用率、存储量。","判定：显著增加。
   金山云作为小米生态及金山办公（WPS AI）的底层支撑，直接受益于大模型训练和推理带来的算力缺口。只要金山办公的AI用户用量增加，金山云的底层计算当量就会线性增长。",较低（存在挑战）。 虽然用量激增，但国内云服务市场竞争极度白热化，且资本开支（Capex）巨大。Non-GAAP毛利率虽在改善，但能否在算力昂贵的背景下保持稳健存在变数。,符合
ADSK,"Autodesk, Inc.",Other Software,-14.73%,0,核心业务是面向工程、建筑、制造行业的 3D CAD/CAM 专业软件（如 AutoCAD、Revit、Maya）。收入模型高度依赖企业客户的坐席订阅（Seat-based Subscription）以及少量面向偶尔使用者的弹性代币（Flex Tokens）。核心业务指标为 ARR 和坐席续约留存率。,根据 2026 年 4 月花旗银行（Citi）及德意志银行（Deutsche Bank）相继将其评级降至中性及下调目标价的研报指出，Autodesk 的增长驱动更多来自内部销售模型（Transaction Model）的重构与提价，而非 AI。建筑师和结构工程师使用该软件是受项目工期主导的。即便 AI 能够自动生成建筑排版或优化承重计算，这只是缩短了单次任务的耗时。全球工程项目的总数和专业设计师的总量是相对平稳的宏观变量，企业客户绝对不会因为大模型底层的计算量猛增，就呈几何级倍数去增购 AutoCAD 的坐席。,凭借在工业设计领域的极高准入壁垒与垄断地位，Autodesk 能够通过定期的产品提价来覆盖其集成 AI 能力的研发和推理成本。其 Non-GAAP 毛利率具备极强的抗冲击能力，但这种韧性源于定价权，而非成本与用量的结构性对冲。,不符合
MBLY,Mobileye Global Inc.,Other Software,-18.17%,0,"业务： 自动驾驶视觉芯片及系统（ADAS）。
   模型： 按硬件套件付费（Per-car unit price）。
   指标： 出货量（Volumes）。","判定：几乎不变。
   虽然自动驾驶底层技术正向“端到端大模型”演进，但MBLY的收入并不随车辆“跑了多少路”或“调用了多少次模型”而增加。它卖的是License和芯片，每辆车只付一次钱。LLM的火热增加了研发成本，但在单车收入模型上没有质的变化。",稳定但无爆发性。 硬件毛利相对固定，受制于汽车工业的供应链压力。,不符合
NTNX,"Nutanix, Inc.",Other Software,-9.09%,1,"业务： 超融合架构（HCI）与混合多云软件。
   模型： 现已全面转型为年度订阅制（ACV）。
   指标： 管理的节点规模/存储容量。","判定：明显增加。
   
   为了保护隐私，许多企业选择在本地数据中心部署私有化大模型（GPT-in-a-box）。NTNX提供的正是这种“开箱即用”的私有云基础架构。随着企业AI工作负载（Workloads）的增加，企业需要购买更多的节点和订阅授权来支撑这些高密度的AI算力，核心指标与企业AI项目的渗透率线性相关。",极强。 纯软件模式，Non-GAAP毛利率常年维持在80%以上。随着规模扩大，其运营杠杆非常明显。,符合
ADBE,ADOBE INC.,Other Software,-24.08%,0,公司的核心业务是提供创意设计软件（Creative Cloud）及数字文档处理系统（Document Cloud）。收入模型是纯粹的 SaaS（软件即服务）按月/年收取的“坐席订阅费”。核心指标是年度经常性收入（ARR）、净收入留存率（NRR）以及新增活跃订阅用户数。,尽管 Adobe 推出了基于大模型的 Firefly AI Assistant，但在 2026 年 4 月底，瑞穗（Mizuho）出于对 AI 降低创意门槛、加剧专业/中小企业级市场竞争的担忧，将其评级下调至中性（目标价降至 270 美元）。从商业逻辑看，Adobe 虽然引入了“生成点数（Generative Credits）”机制，但绝大多数收入依然被框定在固定的坐席订阅费上限内。人类设计师的工作流属性决定了其生成图像的动作是间歇性的，无法像云安全或性能监控系统（如 DDOG）那样进行 24 小时不间断的机器级并发 API 调用。大模型用量的增加只能视作维持 NRR 的防御手段，无法成为打破 ARR 增长天花板的指数级引擎。,Adobe 历史毛利率极高（约 89%）。但在海量用户高频调用生成式 AI 的背景下，绝对算力成本的上升不可忽视。由于无法做到纯粹的“按量计费”，其 Non-GAAP 毛利率在极端用量下只能勉强维持或轻微承压，难以实现利润率随用量扩张的良性循环。,不符合
CLBT,Cellebrite DI Ltd.,Other Software,-23.65%,0,公司的核心业务是为全球执法机构、政府部门及企业情报机构提供数字取证（Digital Intelligence）解决方案，用于从移动设备提取和分析数据。收入模型为 G 端/B 端基于实验室或终端用户的软件期限授权订阅。核心业务指标是 ARR 及客户全生命周期价值。,参考 Needham 于 2026 年 2 月将其目标价下调至 18 美元等机构动作，其业务天花板受制于政府预算周期。在实际的电子取证流程中，引入 AI（如通过大语言模型快速梳理数万条聊天记录）确实能大幅降低案情分析的时间成本。然而，各地的犯罪率、执法案件发生频次以及警务部门的编制是固定的。AI 的底层数据吞吐量再大，也无法凭空制造出更多需要购买情报订阅的“警察坐席”或“案件数量”。其使用频次不可能像互联网流量或企业云原生微服务那样出现爆发式增长。,该行业对价格不敏感且软件具备高机密门槛，通常能维持在 80% 左右的毛利率水平。相比图像与视频生成，文本级别的检索和数据清洗带来的 AI 算力成本处于可控范围内。因此，即使调查人员更频繁地使用 AI 总结功能，其毛利率依然可以较好地维持。,不符合
DUOL,"Duolingo, Inc.",Other Software,-38.81%,0,"业务： 全球最大的在线语言学习平台。
   模型： 典型的“免费增值（Freemium）”模式，主要收入来自订阅（Subscription）。
   指标： 核心指标是 DAU/MAU 及其向付费用户的转化率。","判定：几乎不变/负相关。
   虽然DUOL推出了搭载GPT-4的“Duolingo Max”套餐，但其本质仍是内容驱动的订阅制。LLM虽提升了用户体验（如角色扮演、解释错误），但用户的学习总时长受生理限制。LLM用量的增加并不会让用户订阅更多份服务，反而因为LLM API的高昂成本，可能在模型初期对利润有边际压力。",中等。 其Non-GAAP毛利率极高（80%+），但随着AI功能从“溢价项”变为“基础项”，API成本的增加可能会挤压利润空间，除非其自研模型能有效降低推理成本。,不符合
